 Mortalidade - Brasil
Óbitos p/Ocorrênc por Ano/mês do Óbito e Capítulo CID-10
Período:2011-2018
"Ano/mês do Óbito";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"..Agosto/2014";4603;17246;534;6687;1077;2853;2;12;31130;13239;5450;385;482;2888;122;1737;949;6448;12899;108743
"..Setembro/2014";4340;16505;519;6235;979;2780;-;15;28651;12120;5062;349;452;2691;150;1735;877;6062;12632;102154
"..Outubro/2014";4370;17291;510;6402;1007;2943;2;12;29288;12348;5274;394;462;2808;145;1872;900;6080;13304;105412
"..Novembro/2014";4046;16466;493;5642;961;2393;2;11;26414;10430;4986;333;408;2568;127;1754;912;5499;13143;96588
"..Dezembro/2014";4309;17084;480;5942;1058;2550;1;16;27670;10676;5292;360;439;2766;142;1977;936;6296;13811;101805
"2015";55022;209780;6506;76235;12558;34721;21;147;349642;149541;64202;4970;5385;36549;1896;22162;10989;71713;152136;1264175
"..Janeiro/2015";4594;17577;526;6520;1181;3107;2;9;28824;11818;5307;401;444;3284;165;1973;871;6124;13968;106695
"..Fevereiro/2015";4138;15710;476;5240;926;2271;1;9;24754;9398;4726;329;411;2716;155;1776;804;4954;11818;90612
"..Março/2015";4582;17958;542;6206;1037;2612;3;18;27743;11206;5413;418;447;2875;167;1999;934;5508;12805;102473
"..Abril/2015";4747;17498;537;6306;1060;2847;2;9;28958;12636;5618;391;477;2820;176;1942;942;5825;12323;105114
"..Maio/2015";5025;18217;591;7048;1160;3177;3;7;32151;14718;5812;421;513;3222;172;1910;1040;6260;12595;114042
"..Junho/2015";4559;17302;618;6672;1087;3061;4;16;31219;14749;5358;397;535;3122;166;1789;926;6171;11489;109240
"..Julho/2015";4821;18068;588;6868;1094;3199;1;16;32303;14876;5630;450;430;3249;141;1875;933;6504;11929;112975
"..Agosto/2015";4639;17612;568;6590;1022;2889;2;15;30361;13035;5366;451;441;3001;143;1725;860;6009;12781;107510
"..Setembro/2015";4357;17017;492;6242;992;2924;1;15;28734;12213;5173;442;434;3086;150;1723;873;5851;12433;103152
"..Outubro/2015";4595;17590;528;6192;1024;3008;1;9;28735;11846;5241;434;444;3072;153;1746;912;6042;13184;104756
"..Novembro/2015";4396;17227;496;5981;982;2693;1;14;27327;11155;5179;378;408;2934;147;1769;921;5879;12986;100873
"..Dezembro/2015";4569;18004;544;6370;993;2933;-;10;28533;11891;5379;458;401;3168;161;1935;973;6586;13825;106733
"2016";57188;215217;6878;78075;12674;36870;20;173;362091;158041;66044;5874;5787;39367;1814;21049;10882;75869;155861;1309774
"..Janeiro/2016";4714;18032;586;6381;1067;2946;1;15;28841;11595;5453;452;403;3179;163;1912;900;6123;13436;106199
"..Fevereiro/2016";4819;17222;548;6306;1055;2795;1;12;27820;11194;5281;495;463;3353;173;1798;903;5904;12676;102818
"..Março/2016";5389;18344;644;6862;1068;3049;-;13;30388;13251;5838;464;490;3437;181;1888;973;6347;13005;111631
"..Abril/2016";5162;18084;613;6757;1081;3193;1;11;29967;14882;5621;513;521;3420;196;1851;1019;6164;13071;112127
"..Maio/2016";5030;18696;603;6825;1100;3186;4;23;31932;15216;5869;507;522;3453;180;1851;951;6482;12885;115315
"..Junho/2016";4807;17983;608;7201;1143;3584;3;16;33905;15650;5883;500;534;3495;155;1831;962;6734;12222;117216
"..Julho/2016";5016;18182;628;7073;1149;3448;2;15;33485;15972;5803;525;548;3606;135;1731;972;6905;12956;118151
"..Agosto/2016";4681;17846;599;6556;1069;3165;3;18;31810;13848;5513;533;491;3266;138;1596;909;6297;12782;111120
"..Setembro/2016";4261;16819;483;6037;930;2904;2;11;29208;12181;5160;502;426;2937;112;1560;849;5956;12535;102873
"..Outubro/2016";4535;18184;536;6175;1046;2993;2;15;29697;11995;5340;514;477;3091;118;1657;800;6489;13808;107472
"..Novembro/2016";4345;17553;503;5701;947;2698;1;11;26959;11074;4977;410;455;2936;135;1571;804;5969;12576;99625
"..Dezembro/2016";4429;18272;527;6201;1019;2909;-;13;28079;11183;5306;459;457;3194;128;1803;840;6499;13909;105227
"2017";54874;221821;6622;79662;12858;38786;19;179;358882;155620;66052;6100;5912;40470;1874;21458;10995;71822;158657;1312663
"..Janeiro/2017";4675;18289;524;6372;1112;3041;1;12;28201;11100;5447;526;470;3315;153;1807;847;5960;14047;105899
"..Fevereiro/2017";4125;17129;502;5736;1005;2650;1;11;25701;10424;4945;427;451;2992;139;1734;814;5371;12925;97082
"..Março/2017";4640;18900;560;6684;1048;3139;4;13;29089;12522;5679;530;498;3352;195;1931;995;5873;13198;108850
"..Abril/2017";4598;18518;557;6358;1057;3018;3;16;28911;12753;5488;488;432;3147;169;1806;960;5756;13028;107063
"..Maio/2017";4897;19205;581;6975;1085;3319;1;18;31345;14587;5923;487;524;3486;163;1941;985;6091;13161;114774
"..Junho/2017";4701;18748;567;7047;1108;3455;3;23;32080;14741;5663;488;501;3479;176;1756;921;6294;12573;114324
"..Julho/2017";4964;19265;560;7747;1251;3803;1;28;34887;16124;6054;501;524;3586;159;1784;989;6828;13555;122610
"..Agosto/2017";4699;18530;596;7182;1039;3538;1;14;32662;14030;5629;584;539;3467;164;1697;944;6246;13137;114698
"..Setembro/2017";4319;17881;563;6542;1049;3214;-;11;29752;12968;5282;528;481;3403;139;1619;855;5635;13095;107336
"..Outubro/2017";4493;18769;528;6581;1037;3360;-;9;29822;12887;5332;521;530;3530;142;1752;907;5964;13502;109666
"..Novembro/2017";4240;17904;561;6126;957;3024;1;12;27588;11571;5171;498;487;3192;133;1767;884;5562;12712;102390
"..Dezembro/2017";4523;18683;523;6312;1110;3225;3;12;28844;11913;5439;522;475;3521;142;1864;894;6242;13724;107971
"2018";54679;227920;6601;81365;13697;41035;21;169;357770;155191;67316;6273;6153;43428;1862;20764;11156;70505;150814;1316719
"..Janeiro/2018";4755;18819;530;6591;1069;3209;2;19;28221;11584;5597;490;540;3451;160;1911;889;5703;13298;106838
"..Fevereiro/2018";4365;17270;479;5709;940;2700;-;8;25237;9742;5042;474;404;3114;150;1626;808;5053;11873;94994
"..Março/2018";4808;19391;547;6533;1170;3386;1;21;29197;12171;5594;555;533;3726;151;1885;956;5786;12979;109390
"..Abril/2018";4599;18652;624;6542;1045;3192;2;17;28910;12867;5666;489;482;3600;158;1783;955;5540;12726;107849
"..Maio/2018";4789;19781;616;7219;1217;3463;3;18;31339;14765;5837;533;522;3748;201;1748;1020;5969;12280;115068
"..Junho/2018";4633;19151;560;7452;1298;3854;2;18;32133;15505;5823;519;529;3815;149;1689;971;6265;12601;116967
"..Julho/2018";4765;19564;607;7605;1283;3831;5;11;33365;15893;5856;549;537;3843;156;1707;970;6427;12701;119675
"..Agosto/2018";4543;19271;565;7479;1176;3699;1;11;32518;14112;5892;561;526;3700;152;1699;966;5996;12302;115169
"..Setembro/2018";4284;18827;518;6843;1153;3446;2;9;29928;12792;5490;541;550;3552;152;1547;923;5793;12547;108897
"..Outubro/2018";4392;19154;547;6502;1129;3332;1;12;29207;12170;5522;501;525;3649;131;1647;914;5769;12562;107666
"..Novembro/2018";4178;18674;484;6160;1079;3143;1;16;28100;11397;5384;518;473;3423;150;1681;907;5669;11891;103328
"..Dezembro/2018";4568;19366;524;6730;1138;3780;1;9;29615;12193;5613;543;532;3807;152;1841;877;6535;13054;110878
"Total";424778;1649621;51805;610459;103685;269753;175;1257;2776849;1149167;508527;38553;42658;276325;14449;177308;86989;586202;1223948;9992508
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
